,DateCourse,Numéro -Voit_sched,sched_start,sched_end,Type,CodeLong,Ligne,Category,sched_start_ts,actual_exit_ts,Numéro -Voit_actual,TypeSens
757,2025-04-01,48 - 1,1900-01-01 09:14:40,1900-01-01 09:29:00,Régulier,CRCO05,47,ODIER,2025-04-01 09:14:40,2025-04-01 09:14:00,47 - 1,0.0
295,2025-04-01,37 - 28,1900-01-01 09:18:00,1900-01-01 09:48:20,Régulier,PRSM00,32,Genève-Tours,2025-04-01 09:18:00,2025-04-01 09:18:00,32 - 28,0.0
806,2025-04-01,48 - 2,1900-01-01 09:19:40,1900-01-01 09:33:20,Régulier,LULY00,47,ODIER,2025-04-01 09:19:40,2025-04-01 09:19:00,47 - 2,0.0
208,2025-04-01,33 - 12,1900-01-01 09:24:00,1900-01-01 09:45:00,Régulier,PRSM00,31,Genève-Tours,2025-04-01 09:24:00,2025-04-01 09:24:00,31 - 12,0.0
1520,2025-04-01,60 - 14,1900-01-01 09:26:20,1900-01-01 10:11:00,Régulier,CVIN03,61,Rdta,2025-04-01 09:26:20,2025-04-01 09:26:00,61 - 14,0.0
166,2025-04-01,32 - 6,1900-01-01 09:27:40,1900-01-01 09:47:20,Régulier,PMAR00,31,Genève-Tours,2025-04-01 09:27:40,2025-04-01 09:27:00,31 - 6,0.0
758,2025-04-01,48 - 4,1900-01-01 09:28:40,1900-01-01 09:43:00,Régulier,CRCO05,47,ODIER,2025-04-01 09:28:40,2025-04-01 09:28:00,47 - 4,0.0
1915,2025-04-01,L - 6,1900-01-01 09:35:00,1900-01-01 09:51:40,Régulier,SYGA00,70,ODIER,2025-04-01 09:35:00,2025-04-01 09:35:00,70 - 6,0.0
527,2025-04-01,32 - 1,1900-01-01 09:36:00,1900-01-01 10:02:00,Régulier,PRSM05,37,Genève-Tours,2025-04-01 09:36:00,2025-04-01 09:36:00,37 - 1,0.0
1876,2025-04-01,L - 2,1900-01-01 09:37:00,1900-01-01 09:54:40,Régulier,CRCO05,70,ODIER,2025-04-01 09:37:00,2025-04-01 09:37:00,70 - 2,0.0
662,2025-04-01,C9 - 41,1900-01-01 09:42:20,1900-01-01 10:21:40,Régulier,FAVR99,41,ODIER,2025-04-01 09:42:20,2025-04-01 09:42:00,41 - 41,0.0
807,2025-04-01,48 - 1,1900-01-01 09:48:00,1900-01-01 10:01:40,Régulier,LULY00,47,ODIER,2025-04-01 09:48:00,2025-04-01 09:48:00,47 - 1,0.0
209,2025-04-01,32 - 6,1900-01-01 09:53:40,1900-01-01 10:14:40,Régulier,PRSM00,31,Genève-Tours,2025-04-01 09:53:40,2025-04-01 09:53:00,31 - 6,0.0
759,2025-04-01,48 - 3,1900-01-01 09:56:40,1900-01-01 10:11:00,Régulier,CRCO05,47,ODIER,2025-04-01 09:56:40,2025-04-01 09:56:00,47 - 3,0.0
1916,2025-04-01,L - 2,1900-01-01 10:05:00,1900-01-01 10:21:40,Régulier,SYGA00,70,ODIER,2025-04-01 10:05:00,2025-04-01 10:05:00,70 - 2,0.0
528,2025-04-01,32 - 3,1900-01-01 10:06:00,1900-01-01 10:32:00,Régulier,PRSM05,37,Genève-Tours,2025-04-01 10:06:00,2025-04-01 10:06:00,37 - 3,0.0
1877,2025-04-01,L - 3,1900-01-01 10:07:00,1900-01-01 10:24:40,Régulier,CRCO05,70,ODIER,2025-04-01 10:07:00,2025-04-01 10:07:00,70 - 3,0.0
488,2025-04-01,32 - 1,1900-01-01 10:11:00,1900-01-01 10:38:40,Régulier,LULI00,37,Genève-Tours,2025-04-01 10:11:00,2025-04-01 10:11:00,37 - 1,0.0
341,2025-04-01,32 - 6,1900-01-01 10:15:40,1900-01-01 10:41:20,Régulier,PMAR01,33,Genève-Tours,2025-04-01 10:15:40,2025-04-01 10:15:00,33 - 6,0.0
808,2025-04-01,48 - 3,1900-01-01 10:18:40,1900-01-01 10:32:20,Régulier,LULY00,47,ODIER,2025-04-01 10:18:40,2025-04-01 10:18:00,47 - 3,0.0
210,2025-04-01,37 - 24,1900-01-01 10:24:40,1900-01-01 10:46:00,Régulier,PRSM00,31,Genève-Tours,2025-04-01 10:24:40,2025-04-01 10:24:00,31 - 24,0.0
167,2025-04-01,33 - 16,1900-01-01 10:27:40,1900-01-01 10:47:40,Régulier,PMAR00,31,Genève-Tours,2025-04-01 10:27:40,2025-04-01 10:27:00,31 - 16,0.0
760,2025-04-01,48 - 2,1900-01-01 10:27:40,1900-01-01 10:42:00,Régulier,CRCO05,47,ODIER,2025-04-01 10:27:40,2025-04-01 10:27:00,47 - 2,0.0
529,2025-04-01,32 - 5,1900-01-01 10:35:00,1900-01-01 11:01:00,Régulier,PRSM05,37,Genève-Tours,2025-04-01 10:35:00,2025-04-01 10:35:00,37 - 5,0.0
1917,2025-04-01,L - 3,1900-01-01 10:35:00,1900-01-01 10:51:40,Régulier,SYGA00,70,ODIER,2025-04-01 10:35:00,2025-04-01 10:35:00,70 - 3,0.0
1878,2025-04-01,L - 1,1900-01-01 10:37:00,1900-01-01 10:54:40,Régulier,CRCO05,70,ODIER,2025-04-01 10:37:00,2025-04-01 10:37:00,70 - 1,0.0
489,2025-04-01,32 - 3,1900-01-01 10:41:00,1900-01-01 11:08:40,Régulier,LULI00,37,Genève-Tours,2025-04-01 10:41:00,2025-04-01 10:41:00,37 - 3,0.0
342,2025-04-01,37 - 24,1900-01-01 10:46:40,1900-01-01 11:12:40,Régulier,PMAR01,33,Genève-Tours,2025-04-01 10:46:40,2025-04-01 10:46:00,33 - 24,0.0
809,2025-04-01,48 - 2,1900-01-01 10:47:40,1900-01-01 11:01:20,Régulier,LULY00,47,ODIER,2025-04-01 10:47:40,2025-04-01 10:47:00,47 - 2,0.0
761,2025-04-01,48 - 1,1900-01-01 10:55:40,1900-01-01 11:10:20,Régulier,CRCO05,47,ODIER,2025-04-01 10:55:40,2025-04-01 10:55:00,47 - 1,0.0
168,2025-04-01,33 - 12,1900-01-01 10:57:40,1900-01-01 11:17:40,Régulier,PMAR00,31,Genève-Tours,2025-04-01 10:57:40,2025-04-01 10:57:00,31 - 12,0.0
385,2025-04-01,32 - 6,1900-01-01 11:01:40,1900-01-01 11:27:20,Régulier,RIVE04,33,Genève-Tours,2025-04-01 11:01:40,2025-04-01 11:01:00,33 - 6,0.0
530,2025-04-01,32 - 2,1900-01-01 11:05:00,1900-01-01 11:31:00,Régulier,PRSM05,37,Genève-Tours,2025-04-01 11:05:00,2025-04-01 11:05:00,37 - 2,0.0
1918,2025-04-01,L - 1,1900-01-01 11:05:00,1900-01-01 11:21:40,Régulier,SYGA00,70,ODIER,2025-04-01 11:05:00,2025-04-01 11:05:00,70 - 1,0.0
1879,2025-04-01,L - 6,1900-01-01 11:07:00,1900-01-01 11:25:00,Régulier,CRCO05,70,ODIER,2025-04-01 11:07:00,2025-04-01 11:07:00,70 - 6,0.0
