DateCourse;Numéro -Voit;sched_start;sched_end;Type;CodeLong;Ligne;Category
2025-06-26;60 - 27;1900-01-01 16:12:40;1900-01-01 16:40:00;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 34;1900-01-01 15:53:40;1900-01-01 16:20:40;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 29;1900-01-01 15:29:20;1900-01-01 15:55:40;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 27;1900-01-01 15:04:20;1900-01-01 15:30:40;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 23;1900-01-01 14:40:40;1900-01-01 15:07:00;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 29;1900-01-01 14:17:20;1900-01-01 14:43:00;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 27;1900-01-01 13:51:20;1900-01-01 14:17:00;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 23;1900-01-01 13:27:20;1900-01-01 13:53:20;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 20;1900-01-01 13:03:20;1900-01-01 13:29:20;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 19;1900-01-01 12:39:00;1900-01-01 13:05:40;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 23;1900-01-01 12:15:20;1900-01-01 12:42:00;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 20;1900-01-01 11:51:20;1900-01-01 12:18:00;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 19;1900-01-01 11:27:40;1900-01-01 11:53:20;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 16;1900-01-01 11:03:40;1900-01-01 11:29:00;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 20;1900-01-01 10:39:40;1900-01-01 11:05:00;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 19;1900-01-01 10:15:40;1900-01-01 10:41:00;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 16;1900-01-01 09:51:40;1900-01-01 10:17:40;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 11;1900-01-01 09:29:20;1900-01-01 09:57:00;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 8;1900-01-01 09:05:40;1900-01-01 09:34:00;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 14;1900-01-01 08:49:00;1900-01-01 09:17:40;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 13;1900-01-01 08:32:40;1900-01-01 09:02:20;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 11;1900-01-01 08:19:40;1900-01-01 08:49:20;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 10;1900-01-01 08:05:40;1900-01-01 08:35:20;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 8;1900-01-01 07:51:40;1900-01-01 08:20:40;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 14;1900-01-01 07:39:00;1900-01-01 08:07:20;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 13;1900-01-01 07:26:00;1900-01-01 07:53:00;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 11;1900-01-01 07:13:00;1900-01-01 07:40:00;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 10;1900-01-01 06:59:20;1900-01-01 07:26:00;Régulier;FEMA00;60;Rdta
2025-06-26;60 - 53;1900-01-01 23:40:00;;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 52;1900-01-01 23:10:00;1900-01-01 23:59:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 48;1900-01-01 22:40:00;1900-01-01 23:29:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 51;1900-01-01 22:10:00;1900-01-01 23:00:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 47;1900-01-01 21:40:00;1900-01-01 22:31:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 50;1900-01-01 21:20:00;1900-01-01 22:11:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 49;1900-01-01 21:00:00;1900-01-01 21:52:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 44;1900-01-01 20:53:20;1900-01-01 21:34:20;Régulier;CVIN03;61;Rdta
2025-06-26;60 - 48;1900-01-01 20:43:20;1900-01-01 21:24:20;Régulier;CVIN03;61;Rdta
2025-06-26;60 - 37;1900-01-01 20:31:00;1900-01-01 21:23:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 42;1900-01-01 20:17:20;1900-01-01 20:59:40;Régulier;CVIN03;61;Rdta
2025-06-26;60 - 43;1900-01-01 20:06:00;1900-01-01 20:31:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 45;1900-01-01 19:55:40;1900-01-01 20:46:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 41;1900-01-01 19:49:00;1900-01-01 20:32:00;Régulier;CVIN03;61;Rdta
2025-06-26;60 - 40;1900-01-01 19:41:00;1900-01-01 20:07:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 47;1900-01-01 19:33:20;1900-01-01 20:24:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 37;1900-01-01 19:26:00;1900-01-01 19:52:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 39;1900-01-01 19:17:20;1900-01-01 20:10:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 33;1900-01-01 19:13:00;1900-01-01 19:39:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 38;1900-01-01 19:06:40;1900-01-01 19:51:40;Régulier;CVIN03;61;Rdta
2025-06-26;60 - 42;1900-01-01 18:59:40;1900-01-01 19:27:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 46;1900-01-01 18:52:20;1900-01-01 19:46:40;Régulier;CVIN03;60;Rdta
2025-06-26;61 - 55;1900-01-01 18:45:40;1900-01-01 19:32:40;Régulier;CVIN03;61;Rdta
2025-06-26;60 - 45;1900-01-01 18:37:20;1900-01-01 19:06:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 44;1900-01-01 18:30:20;1900-01-01 19:26:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 40;1900-01-01 18:21:20;1900-01-01 18:51:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 35;1900-01-01 18:14:20;1900-01-01 19:11:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 37;1900-01-01 18:06:40;1900-01-01 18:37:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 43;1900-01-01 18:00:40;1900-01-01 18:50:40;Régulier;CVIN03;61;Rdta
2025-06-26;60 - 33;1900-01-01 17:52:00;1900-01-01 18:23:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 41;1900-01-01 17:45:20;1900-01-01 18:43:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 42;1900-01-01 17:36:40;1900-01-01 18:07:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 31;1900-01-01 17:31:00;1900-01-01 18:21:00;Régulier;CVIN03;61;Rdta
2025-06-26;60 - 29;1900-01-01 17:23:00;1900-01-01 17:54:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 39;1900-01-01 17:12:40;1900-01-01 18:10:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 40;1900-01-01 17:05:20;1900-01-01 17:36:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 38;1900-01-01 16:59:40;1900-01-01 17:57:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 36;1900-01-01 16:53:20;1900-01-01 17:24:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 27;1900-01-01 16:48:00;1900-01-01 17:38:00;Régulier;CVIN03;61;Rdta
2025-06-26;60 - 33;1900-01-01 16:38:40;1900-01-01 17:09:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 34;1900-01-01 16:32:00;1900-01-01 17:30:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 37;1900-01-01 16:25:00;1900-01-01 16:55:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 32;1900-01-01 16:17:40;1900-01-01 17:14:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 35;1900-01-01 16:11:00;1900-01-01 17:00:00;Régulier;CVIN03;61;Rdta
2025-06-26;60 - 29;1900-01-01 16:03:40;1900-01-01 16:33:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 25;1900-01-01 15:52:00;1900-01-01 16:49:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 27;1900-01-01 15:37:40;1900-01-01 16:07:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 31;1900-01-01 15:27:20;1900-01-01 16:23:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 23;1900-01-01 15:14:00;1900-01-01 15:42:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 30;1900-01-01 15:02:40;1900-01-01 15:58:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 29;1900-01-01 14:50:00;1900-01-01 15:18:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 28;1900-01-01 14:38:40;1900-01-01 15:33:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 27;1900-01-01 14:26:00;1900-01-01 14:54:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 26;1900-01-01 14:14:00;1900-01-01 15:08:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 23;1900-01-01 14:02:00;1900-01-01 14:30:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 25;1900-01-01 13:50:00;1900-01-01 14:44:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 20;1900-01-01 13:38:00;1900-01-01 14:05:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 21;1900-01-01 13:26:00;1900-01-01 14:19:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 19;1900-01-01 13:14:00;1900-01-01 13:41:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 24;1900-01-01 13:02:40;1900-01-01 13:55:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 23;1900-01-01 12:50:00;1900-01-01 13:17:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 18;1900-01-01 12:38:40;1900-01-01 13:31:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 20;1900-01-01 12:26:00;1900-01-01 12:53:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 22;1900-01-01 12:14:20;1900-01-01 13:07:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 19;1900-01-01 12:02:00;1900-01-01 12:29:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 17;1900-01-01 11:50:00;1900-01-01 12:42:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 16;1900-01-01 11:38:00;1900-01-01 12:05:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 21;1900-01-01 11:26:00;1900-01-01 12:18:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 20;1900-01-01 11:14:00;1900-01-01 11:40:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 15;1900-01-01 11:02:00;1900-01-01 11:54:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 19;1900-01-01 10:50:00;1900-01-01 11:16:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 18;1900-01-01 10:38:00;1900-01-01 11:29:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 16;1900-01-01 10:26:00;1900-01-01 10:52:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 12;1900-01-01 10:14:40;1900-01-01 11:06:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 11;1900-01-01 10:04:00;1900-01-01 10:30:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 17;1900-01-01 09:50:00;1900-01-01 10:42:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 8;1900-01-01 09:41:00;1900-01-01 10:08:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 9;1900-01-01 09:32:00;1900-01-01 10:24:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 14;1900-01-01 09:26:20;1900-01-01 10:11:00;Régulier;CVIN03;61;Rdta
2025-06-26;60 - 16;1900-01-01 09:16:20;1900-01-01 09:43:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 13;1900-01-01 09:09:20;1900-01-01 10:02:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 15;1900-01-01 09:03:20;1900-01-01 09:48:20;Régulier;CVIN03;61;Rdta
2025-06-26;60 - 11;1900-01-01 08:56:20;1900-01-01 09:24:20;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 7;1900-01-01 08:52:20;1900-01-01 09:37:20;Régulier;CVIN03;61;Rdta
2025-06-26;60 - 10;1900-01-01 08:41:20;1900-01-01 09:33:00;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 6;1900-01-01 08:37:40;1900-01-01 09:22:00;Régulier;CVIN03;61;Rdta
2025-06-26;60 - 8;1900-01-01 08:29:20;1900-01-01 08:56:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 5;1900-01-01 08:22:00;1900-01-01 09:13:40;Régulier;CVIN03;60;Rdta
2025-06-26;60 - 14;1900-01-01 08:14:20;1900-01-01 08:41:40;Régulier;CVIN03;60;Rdta
